Metric,period,None,Medium,SMD
agg_income_15plus_white_nh,Pre (<2021),478847700,440043295.8333334,"<span style=""     color: red !important;"" >-0.152</span>"
agg_nonfamily_income,Post (≥2021),143108625,135696866.66666666,"<span style=""     color: red !important;"" >-0.094</span>"
agg_nonfamily_income,Pre (<2021),116494718.75,100084820.83333333,"<span style=""     color: red !important;"" >-0.281</span>"
avg_family_income,Post (≥2021),504243.0840995514,434967.3939088037,"<span style=""     color: red !important;"" >-0.253</span>"
avg_family_income,Pre (<2021),350737.7806040541,321162.59029092704,"<span style=""     color: red !important;"" >-0.138</span>"
avg_household_income,Post (≥2021),428117.5129782842,381856.91117990814,"<span style=""     color: red !important;"" >-0.194</span>"
avg_household_income,Pre (<2021),290683.0196112816,281207.26653033454,"<span style=""     color: red !important;"" >-0.054</span>"
avg_household_income_hisp,Post (≥2021),212925.54033744047,293190.87729566405,"<span style=""     color: green !important;"" >0.477</span>"
avg_household_income_hisp,Pre (<2021),236227.51032804314,199782.97758310032,"<span style=""     color: red !important;"" >-0.372</span>"
avg_household_income_race_tot,Post (≥2021),428117.5129782842,381856.91117990814,"<span style=""     color: red !important;"" >-0.194</span>"
avg_household_income_race_tot,Pre (<2021),290683.0196112816,281207.26653033454,"<span style=""     color: red !important;"" >-0.054</span>"
avg_household_income_two,Post (≥2021),329462.28386053036,346391.44866304344,"<span style=""     color: green !important;"" >0.072</span>"
avg_household_income_two,Pre (<2021),122807.46301394815,175212.19340952847,"<span style=""     color: green !important;"" >0.437</span>"
avg_household_income_white,Post (≥2021),424573.1318019212,380348.3692956142,"<span style=""     color: red !important;"" >-0.187</span>"
avg_household_income_white,Pre (<2021),292579.3105817915,283830.00735636626,"<span style=""     color: red !important;"" >-0.049</span>"
avg_household_income_white_nh,Post (≥2021),425290.3117240629,380343.8353016975,"<span style=""     color: red !important;"" >-0.189</span>"
avg_household_income_white_nh,Pre (<2021),292854.7681894235,284483.0858085895,"<span style=""     color: red !important;"" >-0.046</span>"
avg_nonfamily_income,Post (≥2021),277485.28235207417,262356.314981681,"<span style=""     color: red !important;"" >-0.096</span>"
avg_nonfamily_income,Pre (<2021),176656.4888768719,180313.63801581954,"<span style=""     color: green !important;"" >0.035</span>"
inc_q2_limit,Post (≥2021),269771.9166666667,252758.77777777778,"<span style=""     color: red !important;"" >-0.111</span>"
inc_q2_limit,Pre (<2021),177402.6875,179721.5,"<span style=""     color: green !important;"" >0.021</span>"
inc_q3_limit,Post (≥2021),408786.5,377514.8333333333,"<span style=""     color: red !important;"" >-0.133</span>"
inc_q3_limit,Pre (<2021),263450.3125,277438.4166666667,"<span style=""     color: green !important;"" >0.085</span>"
inc_q4_limit,Post (≥2021),608014.3333333334,562719.5,"<span style=""     color: red !important;"" >-0.129</span>"
inc_q4_limit,Pre (<2021),406884.5,412923.5,"<span style=""     color: green !important;"" >0.024</span>"
inc_top5pct_lower_limit,Post (≥2021),1000402.5833333333,873206.4444444445,"<span style=""     color: red !important;"" >-0.234</span>"
inc_top5pct_lower_limit,Pre (<2021),689695.6875,684857.2083333334,"<span style=""     color: red !important;"" >-0.011</span>"
mean_hh_income_q2,Post (≥2021),200885.41666666666,182183.77777777778,"<span style=""     color: red !important;"" >-0.161</span>"
mean_hh_income_q2,Pre (<2021),125849.625,132025.54166666666,"<span style=""     color: green !important;"" >0.075</span>"
mean_hh_income_q3,Post (≥2021),317534.9166666667,287721.22222222225,"<span style=""     color: red !important;"" >-0.163</span>"
mean_hh_income_q3,Pre (<2021),202951.3125,214837.125,"<span style=""     color: green !important;"" >0.089</span>"
mean_hh_income_q4_alt,Post (≥2021),475763.3333333334,432116.6111111111,"<span style=""     color: red !important;"" >-0.152</span>"
mean_hh_income_q4_alt,Pre (<2021),306017.625,324354.5833333333,"<span style=""     color: green !important;"" >0.092</span>"
mean_hh_income_q5,Post (≥2021),924514.6666666667,776214.4444444445,"<span style=""     color: red !important;"" >-0.286</span>"
mean_hh_income_q5,Pre (<2021),650060.75,612590.5416666666,"<span style=""     color: red !important;"" >-0.088</span>"
mean_hh_income_top5pct,Post (≥2021),1528274.9166666667,1202385.6666666667,"<span style=""     color: red !important;"" >-0.389</span>"
mean_hh_income_top5pct,Pre (<2021),1161330.1875,977716.375,"<span style=""     color: red !important;"" >-0.233</span>"
median_earnings_bachelor,Post (≥2021),265765.0833333333,230404.83333333334,"<span style=""     color: red !important;"" >-0.198</span>"
median_earnings_bachelor,Pre (<2021),187940.625,155525.54166666666,"<span style=""     color: red !important;"" >-0.289</span>"
median_earnings_male,Post (≥2021),252255.6666666667,216807.16666666666,"<span style=""     color: red !important;"" >-0.241</span>"
median_earnings_male,Pre (<2021),176572.0625,165491.83333333334,"<span style=""     color: red !important;"" >-0.111</span>"
median_earnings_male_hs,Post (≥2021),193996.58333333334,169524.33333333334,"<span style=""     color: red !important;"" >-0.233</span>"
median_earnings_male_hs,Pre (<2021),140303.375,127304.75,"<span style=""     color: red !important;"" >-0.164</span>"
median_earnings_male_somecoll,Post (≥2021),223401.66666666666,219583.11111111112,"<span style=""     color: red !important;"" >-0.029</span>"
median_earnings_male_somecoll,Pre (<2021),158847.9375,165173.25,"<span style=""     color: green !important;"" >0.069</span>"
median_family_income,Post (≥2021),399934.0833333334,367948,"<span style=""     color: red !important;"" >-0.132</span>"
median_family_income,Pre (<2021),271684.1875,267185.5,"<span style=""     color: red !important;"" >-0.026</span>"
median_hh_inc_all_units,Post (≥2021),336536.8333333333,311394.1111111111,"<span style=""     color: red !important;"" >-0.135</span>"
median_hh_inc_all_units,Pre (<2021),217592.8125,224936.75,"<span style=""     color: green !important;"" >0.054</span>"
median_hh_inc_owner,Post (≥2021),390435.9166666667,352637.55555555556,"<span style=""     color: red !important;"" >-0.166</span>"
median_hh_inc_owner,Pre (<2021),259399.6875,268297.2083333333,"<span style=""     color: green !important;"" >0.054</span>"
median_hh_inc_past12_renters,Post (≥2021),189941.66666666666,174918.72222222222,"<span style=""     color: red !important;"" >-0.145</span>"
median_hh_inc_past12_renters,Pre (<2021),146828.8125,133972.08333333334,"<span style=""     color: red !important;"" >-0.147</span>"
median_hh_inc_renter,Post (≥2021),189941.66666666666,174918.72222222222,"<span style=""     color: red !important;"" >-0.145</span>"
median_hh_inc_renter,Pre (<2021),146828.8125,133972.08333333334,"<span style=""     color: red !important;"" >-0.147</span>"
median_hh_income,Post (≥2021),336536.8333333333,311394.1111111111,"<span style=""     color: red !important;"" >-0.135</span>"
median_hh_income,Pre (<2021),217592.8125,224936.75,"<span style=""     color: green !important;"" >0.054</span>"
median_hh_income_white,Post (≥2021),334425.5833333333,311388.6666666667,"<span style=""     color: red !important;"" >-0.124</span>"
median_hh_income_white,Pre (<2021),220137.125,227180.70833333334,"<span style=""     color: green !important;"" >0.051</span>"
median_hh_income_white_nh,Post (≥2021),333141.8333333333,308447.3333333333,"<span style=""     color: red !important;"" >-0.132</span>"
median_hh_income_white_nh,Pre (<2021),219204.4375,227344.58333333334,"<span style=""     color: green !important;"" >0.058</span>"
median_household_income,Post (≥2021),66377.54216983568,70365.55063292822,"<span style=""     color: green !important;"" >0.251</span>"
median_household_income,Pre (<2021),52314.76736465321,54318.53594165095,"<span style=""     color: green !important;"" >0.161</span>"
median_inc_15plus_male,Post (≥2021),216281.3333333333,178088.66666666666,"<span style=""     color: red !important;"" >-0.324</span>"
median_inc_15plus_male,Pre (<2021),146811.25,135686.54166666666,"<span style=""     color: red !important;"" >-0.134</span>"
median_inc_15plus_male_ftyr,Post (≥2021),318219.9166666667,271340.27777777775,"<span style=""     color: red !important;"" >-0.292</span>"
median_inc_15plus_male_ftyr,Pre (<2021),219742,212512.95833333334,"<span style=""     color: red !important;"" >-0.056</span>"
median_nonfamily_income,Post (≥2021),189261.83333333334,187266.72222222222,"<span style=""     color: red !important;"" >-0.019</span>"
median_nonfamily_income,Pre (<2021),128701.8125,129919.25,"<span style=""     color: green !important;"" >0.015</span>"
median_owner_home_value,Post (≥2021),1530733.3333333333,1588755.5555555555,"<span style=""     color: green !important;"" >0.066</span>"
median_owner_home_value,Pre (<2021),825112.5,1033133.3333333333,"<span style=""     color: green !important;"" >0.362</span>"
