Metric,period,Medium,Large,SMD
median_hh_inc_renter,Post (≥2022),405466.5,791017.6666666666,"<span style=""     color: green !important;"" >1.004</span>"
median_hh_inc_renter,Pre (<2022),302950.85,676635.8,"<span style=""     color: green !important;"" >1.531</span>"
median_hh_income,Post (≥2022),682744.375,1491637.3333333333,"<span style=""     color: green !important;"" >1.763</span>"
median_hh_income,Pre (<2022),494370.4,1126571.9333333333,"<span style=""     color: green !important;"" >1.741</span>"
median_hh_income_white,Post (≥2022),690873.375,1491911,"<span style=""     color: green !important;"" >1.714</span>"
median_hh_income_white,Pre (<2022),496762.95,1127737.3333333333,"<span style=""     color: green !important;"" >1.72</span>"
median_hh_income_white_nh,Post (≥2022),696554.875,1502778.1666666667,"<span style=""     color: green !important;"" >1.717</span>"
median_hh_income_white_nh,Pre (<2022),499075.15,1137723.4,"<span style=""     color: green !important;"" >1.707</span>"
median_household_income,Post (≥2022),72275.39924046124,112806.34452771107,"<span style=""     color: green !important;"" >2.101</span>"
median_household_income,Pre (<2022),57868.31284989717,89719.44372541211,"<span style=""     color: green !important;"" >2.143</span>"
median_inc_15plus_male,Post (≥2022),409135.25,919204.8333333334,"<span style=""     color: green !important;"" >1.662</span>"
median_inc_15plus_male,Pre (<2022),307140.65,708236.2666666667,"<span style=""     color: green !important;"" >1.64</span>"
median_inc_15plus_male_ftyr,Post (≥2022),654071,1266540.1666666667,"<span style=""     color: green !important;"" >1.475</span>"
median_inc_15plus_male_ftyr,Pre (<2022),472369.75,970052.6,"<span style=""     color: green !important;"" >1.518</span>"
median_nonfamily_income,Post (≥2022),388880.75,755408.5,"<span style=""     color: green !important;"" >1.32</span>"
median_nonfamily_income,Pre (<2022),282710.2,615797.3333333334,"<span style=""     color: green !important;"" >1.753</span>"
median_owner_home_value,Post (≥2022),3693050,7564100,"<span style=""     color: green !important;"" >1.482</span>"
median_owner_home_value,Pre (<2022),2528165,5157733.333333333,"<span style=""     color: green !important;"" >1.422</span>"
