"Label (Grouping)","Ashland city, Oregon!!Estimate","Ashland city, Oregon!!Margin of Error","Ashland city, Oregon!!Percent","Ashland city, Oregon!!Percent Margin of Error","Baker City city, Oregon!!Estimate","Baker City city, Oregon!!Margin of Error","Baker City city, Oregon!!Percent","Baker City city, Oregon!!Percent Margin of Error","Cottage Grove city, Oregon!!Estimate","Cottage Grove city, Oregon!!Margin of Error","Cottage Grove city, Oregon!!Percent","Cottage Grove city, Oregon!!Percent Margin of Error","Eagle Point city, Oregon!!Estimate","Eagle Point city, Oregon!!Margin of Error","Eagle Point city, Oregon!!Percent","Eagle Point city, Oregon!!Percent Margin of Error","Forest Grove city, Oregon!!Estimate","Forest Grove city, Oregon!!Margin of Error","Forest Grove city, Oregon!!Percent","Forest Grove city, Oregon!!Percent Margin of Error","Klamath Falls city, Oregon!!Estimate","Klamath Falls city, Oregon!!Margin of Error","Klamath Falls city, Oregon!!Percent","Klamath Falls city, Oregon!!Percent Margin of Error","Newberg city, Oregon!!Estimate","Newberg city, Oregon!!Margin of Error","Newberg city, Oregon!!Percent","Newberg city, Oregon!!Percent Margin of Error","Newport city, Oregon!!Estimate","Newport city, Oregon!!Margin of Error","Newport city, Oregon!!Percent","Newport city, Oregon!!Percent Margin of Error","North Bend city, Oregon!!Estimate","North Bend city, Oregon!!Margin of Error","North Bend city, Oregon!!Percent","North Bend city, Oregon!!Percent Margin of Error","Ontario city, Oregon!!Estimate","Ontario city, Oregon!!Margin of Error","Ontario city, Oregon!!Percent","Ontario city, Oregon!!Percent Margin of Error","Prineville city, Oregon!!Estimate","Prineville city, Oregon!!Margin of Error","Prineville city, Oregon!!Percent","Prineville city, Oregon!!Percent Margin of Error","Roseburg city, Oregon!!Estimate","Roseburg city, Oregon!!Margin of Error","Roseburg city, Oregon!!Percent","Roseburg city, Oregon!!Percent Margin of Error","Sandy city, Oregon!!Estimate","Sandy city, Oregon!!Margin of Error","Sandy city, Oregon!!Percent","Sandy city, Oregon!!Percent Margin of Error","Silverton city, Oregon!!Estimate","Silverton city, Oregon!!Margin of Error","Silverton city, Oregon!!Percent","Silverton city, Oregon!!Percent Margin of Error","Sweet Home city, Oregon!!Estimate","Sweet Home city, Oregon!!Margin of Error","Sweet Home city, Oregon!!Percent","Sweet Home city, Oregon!!Percent Margin of Error","Tualatin city, Oregon!!Estimate","Tualatin city, Oregon!!Margin of Error","Tualatin city, Oregon!!Percent","Tualatin city, Oregon!!Percent Margin of Error","West Linn city, Oregon!!Estimate","West Linn city, Oregon!!Margin of Error","West Linn city, Oregon!!Percent","West Linn city, Oregon!!Percent Margin of Error"
"        2 units","519","±168","4.6%","±1.5","135","±88","3.0%","±2.0","166","±85","3.7%","±1.9","0","±18","0.0%","±1.0","340","±177","3.6%","±1.8","737","±204","7.5%","±2.0","195","±86","2.1%","±0.9","272","±130","4.8%","±2.3","220","±96","4.8%","±2.1","321","±120","6.4%","±2.3","317","±164","6.7%","±3.4","341","±147","3.1%","±1.3","29","±40","0.6%","±0.9","83","±82","2.1%","±2.0","110","±83","2.7%","±2.1","203","±111","1.8%","±1.0","260","±137","2.5%","±1.3"
"        3 or 4 units","678","±179","6.0%","±1.6","146","±79","3.2%","±1.7","251","±161","5.6%","±3.5","159","±127","4.3%","±3.3","532","±148","5.7%","±1.6","719","±187","7.4%","±1.9","379","±138","4.0%","±1.4","487","±163","8.7%","±2.8","195","±124","4.3%","±2.7","401","±152","8.1%","±3.0","175","±162","3.7%","±3.4","839","±271","7.7%","±2.4","101","±103","2.2%","±2.3","530","±189","13.2%","±4.4","129","±112","3.2%","±2.8","907","±245","8.0%","±2.1","323","±141","3.1%","±1.4"
"        5 to 9 units","474","±194","4.2%","±1.7","115","±60","2.6%","±1.3","220","±123","4.9%","±2.7","84","±59","2.3%","±1.6","488","±218","5.2%","±2.3","349","±127","3.6%","±1.3","222","±119","2.3%","±1.3","458","±124","8.2%","±2.2","297","±124","6.5%","±2.7","207","±110","4.2%","±2.2","115","±70","2.4%","±1.5","544","±238","5.0%","±2.2","100","±99","2.2%","±2.2","63","±60","1.6%","±1.5","175","±106","4.3%","±2.6","1,083","±273","9.6%","±2.3","439","±198","4.2%","±1.9"
"        10 to 19 units","254","±111","2.3%","±1.0","92","±59","2.0%","±1.3","119","±73","2.7%","±1.6","0","±18","0.0%","±1.0","390","±194","4.2%","±2.0","266","±143","2.7%","±1.4","241","±103","2.5%","±1.1","120","±67","2.1%","±1.2","108","±80","2.4%","±1.7","147","±75","3.0%","±1.5","36","±42","0.8%","±0.9","354","±142","3.2%","±1.3","221","±122","4.9%","±2.7","143","±100","3.6%","±2.5","67","±56","1.6%","±1.4","844","±207","7.5%","±1.9","267","±144","2.6%","±1.4"
"        20 or more units","827","±246","7.3%","±2.1","247","±87","5.5%","±1.9","289","±155","6.5%","±3.4","173","±147","4.7%","±3.9","1,153","±205","12.3%","±2.1","924","±230","9.5%","±2.2","1,025","±334","10.8%","±3.4","285","±96","5.1%","±1.7","363","±143","8.0%","±3.0","495","±136","9.9%","±2.6","383","±181","8.1%","±3.8","877","±182","8.0%","±1.6","92","±74","2.0%","±1.6","204","±134","5.1%","±3.2","19","±30","0.5%","±0.7","1,573","±276","13.9%","±2.4","304","±149","2.9%","±1.4"
"        Mobile home","170","±97","1.5%","±0.9","452","±109","10.0%","±2.4","212","±84","4.8%","±1.9","152","±130","4.1%","±3.3","592","±167","6.3%","±1.8","255","±86","2.6%","±0.9","543","±174","5.7%","±1.8","583","±129","10.4%","±2.2","33","±32","0.7%","±0.7","473","±141","9.5%","±2.8","501","±211","10.6%","±4.4","900","±201","8.2%","±1.8","202","±76","4.5%","±1.7","85","±51","2.1%","±1.3","647","±223","15.9%","±5.7","122","±65","1.1%","±0.6","48","±47","0.5%","±0.5"
"        Boat, RV, van, etc.","44","±38","0.4%","±0.3","0","±18","0.0%","±0.8","10","±17","0.2%","±0.4","0","±18","0.0%","±1.0","0","±24","0.0%","±0.4","0","±24","0.0%","±0.4","15","±23","0.2%","±0.2","57","±36","1.0%","±0.7","0","±20","0.0%","±0.8","23","±28","0.5%","±0.6","114","±95","2.4%","±2.0","1","±3","0.0%","±0.1","0","±20","0.0%","±0.8","13","±21","0.3%","±0.5","0","±18","0.0%","±0.9","67","±82","0.6%","±0.7","0","±24","0.0%","±0.4"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","11,273","±439","11,273","(X)","4,502","±190","4,502","(X)","4,452","±273","4,452","(X)","3,686","±397","3,686","(X)","9,386","±425","9,386","(X)","9,777","±446","9,777","(X)","9,472","±410","9,472","(X)","5,615","±303","5,615","(X)","4,561","±274","4,561","(X)","4,978","±252","4,978","(X)","4,737","±249","4,737","(X)","10,910","±457","10,910","(X)","4,500","±298","4,500","(X)","4,021","±314","4,021","(X)","4,061","±267","4,061","(X)","11,282","±405","11,282","(X)","10,392","±341","10,392","(X)"
"        Built 2020 or later","85","±77","0.8%","±0.7","5","±8","0.1%","±0.2","0","±20","0.0%","±0.8","18","±28","0.5%","±0.8","37","±43","0.4%","±0.5","24","±35","0.2%","±0.4","0","±24","0.0%","±0.4","0","±20","0.0%","±0.7","47","±58","1.0%","±1.2","0","±20","0.0%","±0.7","0","±20","0.0%","±0.8","0","±24","0.0%","±0.3","18","±21","0.4%","±0.5","0","±20","0.0%","±0.9","0","±18","0.0%","±0.9","0","±24","0.0%","±0.3","0","±24","0.0%","±0.4"
"        Built 2010 to 2019","893","±307","7.9%","±2.8","100","±62","2.2%","±1.4","197","±99","4.4%","±2.2","260","±143","7.1%","±3.9","1,098","±249","11.7%","±2.5","308","±120","3.2%","±1.2","1,240","±350","13.1%","±3.6","178","±80","3.2%","±1.4","22","±25","0.5%","±0.5","78","±59","1.6%","±1.2","209","±106","4.4%","±2.3","379","±146","3.5%","±1.3","1,001","±231","22.2%","±5.2","384","±173","9.5%","±4.1","145","±108","3.6%","±2.6","875","±193","7.8%","±1.7","483","±174","4.6%","±1.7"
"        Built 2000 to 2009","1,304","±287","11.6%","±2.5","346","±113","7.7%","±2.5","580","±166","13.0%","±3.7","1,404","±338","38.1%","±8.1","1,367","±294","14.6%","±3.3","767","±248","7.8%","±2.5","1,825","±319","19.3%","±3.3","438","±138","7.8%","±2.4","228","±137","5.0%","±2.9","377","±147","7.6%","±2.8","937","±220","19.8%","±4.7","796","±240","7.3%","±2.2","1,397","±303","31.0%","±6.0","696","±190","17.3%","±4.5","642","±235","15.8%","±5.7","1,592","±246","14.1%","±2.2","1,703","±221","16.4%","±2.1"
"        Built 1990 to 1999","1,612","±234","14.3%","±2.1","497","±130","11.0%","±2.9","645","±197","14.5%","±4.2","668","±302","18.1%","±7.7","1,675","±277","17.8%","±2.8","1,227","±217","12.5%","±2.1","1,695","±346","17.9%","±3.6","1,087","±211","19.4%","±3.6","403","±144","8.8%","±3.1","750","±195","15.1%","±3.7","901","±231","19.0%","±4.9","1,740","±372","15.9%","±3.4","496","±148","11.0%","±3.4","643","±170","16.0%","±4.0","456","±167","11.2%","±4.3","3,526","±383","31.3%","±3.2","2,370","±360","22.8%","±3.3"
"        Built 1980 to 1989","1,625","±332","14.4%","±2.8","283","±102","6.3%","±2.3","343","±115","7.7%","±2.6","265","±189","7.2%","±4.8","835","±255","8.9%","±2.6","752","±207","7.7%","±2.0","1,142","±286","12.1%","±3.1","894","±219","15.9%","±3.7","223","±108","4.9%","±2.4","550","±144","11.0%","±2.9","267","±117","5.6%","±2.4","1,151","±320","10.5%","±3.0","631","±317","14.0%","±6.9","139","±84","3.5%","±2.1","344","±173","8.5%","±4.3","2,339","±262","20.7%","±2.1","2,231","±380","21.5%","±3.6"
"        Built 1970 to 1979","1,717","±294","15.2%","±2.6","626","±160","13.9%","±3.4","613","±163","13.8%","±3.7","301","±166","8.2%","±4.0","1,545","±256","16.5%","±2.5","1,497","±241","15.3%","±2.5","1,350","±261","14.3%","±2.8","1,241","±216","22.1%","±3.6","856","±281","18.8%","±6.1","1,422","±230","28.6%","±4.7","808","±264","17.1%","±5.5","1,861","±395","17.1%","±3.6","449","±167","10.0%","±3.7","589","±146","14.6%","±3.6","765","±232","18.8%","±5.4","2,668","±363","23.6%","±3.0","1,984","±295","19.1%","±2.8"
"        Built 1960 to 1969","1,119","±216","9.9%","±1.8","337","±112","7.5%","±2.5","443","±132","10.0%","±2.8","457","±284","12.4%","±8.2","851","±211","9.1%","±2.2","795","±222","8.1%","±2.2","722","±257","7.6%","±2.6","536","±142","9.5%","±2.5","891","±198","19.5%","±4.4","476","±153","9.6%","±3.1","235","±112","5.0%","±2.3","833","±210","7.6%","±1.8","44","±49","1.0%","±1.1","213","±90","5.3%","±2.2","291","±140","7.2%","±3.4","77","±42","0.7%","±0.4","536","±146","5.2%","±1.4"
"        Built 1950 to 1959","758","±203","6.7%","±1.8","374","±86","8.3%","±1.9","421","±130","9.5%","±3.0","80","±79","2.2%","±2.1","500","±174","5.3%","±1.8","982","±198","10.0%","±2.0","399","±168","4.2%","±1.8","372","±96","6.6%","±1.7","819","±243","18.0%","±5.4","446","±125","9.0%","±2.5","609","±212","12.9%","±4.3","1,512","±337","13.9%","±3.0","74","±85","1.6%","±1.9","170","±105","4.2%","±2.6","414","±194","10.2%","±4.7","42","±33","0.4%","±0.3","434","±119","4.2%","±1.2"
"        Built 1940 to 1949","688","±223","6.1%","±2.0","290","±112","6.4%","±2.5","456","±164","10.2%","±3.7","194","±265","5.3%","±7.1","516","±157","5.5%","±1.7","868","±186","8.9%","±1.9","268","±116","2.8%","±1.2","352","±130","6.3%","±2.2","579","±196","12.7%","±4.1","423","±182","8.5%","±3.7","350","±134","7.4%","±2.7","1,515","±356","13.9%","±3.1","142","±99","3.2%","±2.2","149","±82","3.7%","±2.0","809","±308","19.9%","±7.3","32","±21","0.3%","±0.2","174","±89","1.7%","±0.9"
"        Built 1939 or earlier","1,472","±294","13.1%","±2.5","1,644","±224","36.5%","±4.5","754","±226","16.9%","±4.9","39","±48","1.1%","±1.3","962","±239","10.2%","±2.4","2,557","±331","26.2%","±3.2","831","±247","8.8%","±2.6","517","±111","9.2%","±2.0","493","±154","10.8%","±3.1","456","±119","9.2%","±2.3","421","±156","8.9%","±3.3","1,123","±220","10.3%","±2.0","248","±127","5.5%","±2.8","1,038","±205","25.8%","±5.0","195","±92","4.8%","±2.4","131","±87","1.2%","±0.8","477","±172","4.6%","±1.7"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","11,273","±439","11,273","(X)","4,502","±190","4,502","(X)","4,452","±273","4,452","(X)","3,686","±397","3,686","(X)","9,386","±425","9,386","(X)","9,777","±446","9,777","(X)","9,472","±410","9,472","(X)","5,615","±303","5,615","(X)","4,561","±274","4,561","(X)","4,978","±252","4,978","(X)","4,737","±249","4,737","(X)","10,910","±457","10,910","(X)","4,500","±298","4,500","(X)","4,021","±314","4,021","(X)","4,061","±267","4,061","(X)","11,282","±405","11,282","(X)","10,392","±341","10,392","(X)"
"        1 room","557","±179","4.9%","±1.6","83","±60","1.8%","±1.3","29","±28","0.7%","±0.6","95","±147","2.6%","±3.9","408","±139","4.3%","±1.5","451","±154","4.6%","±1.5","448","±239","4.7%","±2.5","143","±70","2.5%","±1.2","86","±76","1.9%","±1.7","202","±84","4.1%","±1.7","198","±108","4.2%","±2.3","560","±195","5.1%","±1.8","0","±20","0.0%","±0.8","0","±20","0.0%","±0.9","56","±65","1.4%","±1.6","205","±129","1.8%","±1.1","47","±53","0.5%","±0.5"
"        2 rooms","607","±176","5.4%","±1.6","156","±91","3.5%","±2.0","146","±86","3.3%","±1.9","0","±18","0.0%","±1.0","358","±171","3.8%","±1.8","539","±187","5.5%","±1.8","220","±135","2.3%","±1.4","214","±89","3.8%","±1.6","188","±124","4.1%","±2.7","279","±130","5.6%","±2.5","214","±179","4.5%","±3.8","460","±193","4.2%","±1.7","19","±30","0.4%","±0.7","46","±55","1.1%","±1.3","21","±27","0.5%","±0.7","535","±162","4.7%","±1.4","194","±129","1.9%","±1.2"
"        3 rooms","1,222","±274","10.8%","±2.3","381","±132","8.5%","±2.9","677","±244","15.2%","±5.0","98","±108","2.7%","±2.9","945","±278","10.1%","±2.9","954","±243","9.8%","±2.4","675","±255","7.1%","±2.7","627","±155","11.2%","±2.7","406","±140","8.9%","±3.0","788","±240","15.8%","±4.6","415","±175","8.8%","±3.6","813","±214","7.5%","±1.9","180","±110","4.0%","±2.4","311","±155","7.7%","±3.6","295","±139","7.3%","±3.4","1,448","±276","12.8%","±2.3","345","±160","3.3%","±1.5"
"        4 rooms","2,069","±328","18.4%","±2.9","846","±155","18.8%","±3.2","922","±211","20.7%","±4.9","766","±263","20.8%","±6.9","1,497","±302","15.9%","±3.0","2,186","±322","22.4%","±3.0","1,713","±397","18.1%","±4.1","1,155","±175","20.6%","±2.9","1,099","±312","24.1%","±6.9","1,181","±254","23.7%","±4.9","886","±247","18.7%","±5.2","1,896","±381","17.4%","±3.4","693","±220","15.4%","±4.6","862","±243","21.4%","±5.7","755","±256","18.6%","±6.1","1,915","±325","17.0%","±2.8","926","±254","8.9%","±2.4"
"        5 rooms","2,132","±312","18.9%","±2.6","853","±200","18.9%","±4.4","1,040","±229","23.4%","±5.0","666","±292","18.1%","±6.7","1,808","±369","19.3%","±3.6","1,773","±288","18.1%","±2.7","1,734","±381","18.3%","±3.9","1,210","±226","21.5%","±3.7","880","±234","19.3%","±4.9","778","±168","15.6%","±3.5","1,127","±278","23.8%","±5.7","2,644","±434","24.2%","±3.7","1,591","±381","35.4%","±8.0","853","±201","21.2%","±4.6","1,246","±321","30.7%","±7.9","1,851","±301","16.4%","±2.7","1,189","±271","11.4%","±2.5"
"        6 rooms","1,954","±356","17.3%","±3.0","729","±193","16.2%","±4.2","728","±162","16.4%","±3.6","1,369","±288","37.1%","±8.2","1,452","±311","15.5%","±3.4","1,823","±282","18.6%","±3.0","2,135","±326","22.5%","±3.5","1,005","±182","17.9%","±3.2","769","±169","16.9%","±3.4","832","±197","16.7%","±3.9","795","±231","16.8%","±4.8","1,696","±386","15.5%","±3.5","680","±225","15.1%","±5.1","454","±168","11.3%","±3.9","882","±288","21.7%","±6.7","1,380","±229","12.2%","±2.0","1,499","±312","14.4%","±2.9"
"        7 rooms","1,075","±248","9.5%","±2.2","558","±136","12.4%","±3.0","404","±111","9.1%","±2.4","265","±175","7.2%","±4.6","1,304","±269","13.9%","±2.8","777","±191","7.9%","±1.9","851","±217","9.0%","±2.3","579","±174","10.3%","±3.1","527","±150","11.6%","±3.2","373","±120","7.5%","±2.4","495","±186","10.4%","±3.9","1,047","±249","9.6%","±2.3","656","±230","14.6%","±4.8","480","±170","11.9%","±4.4","525","±179","12.9%","±4.3","1,175","±186","10.4%","±1.6","1,099","±259","10.6%","±2.5"
"        8 rooms","755","±228","6.7%","±2.0","347","±102","7.7%","±2.2","271","±85","6.1%","±1.9","141","±110","3.8%","±3.0","861","±206","9.2%","±2.3","619","±201","6.3%","±2.1","998","±369","10.5%","±3.8","406","±146","7.2%","±2.6","185","±88","4.1%","±1.9","291","±108","5.8%","±2.2","342","±139","7.2%","±2.9","955","±267","8.8%","±2.4","165","±105","3.7%","±2.4","528","±166","13.1%","±4.2","52","±49","1.3%","±1.2","1,279","±207","11.3%","±1.8","1,497","±288","14.4%","±2.8"
"        9 rooms or more","902","±218","8.0%","±2.0","549","±125","12.2%","±2.7","235","±94","5.3%","±2.1","286","±159","7.8%","±4.3","753","±173","8.0%","±1.8","655","±183","6.7%","±1.9","698","±186","7.4%","±2.0","276","±86","4.9%","±1.5","421","±149","9.2%","±3.3","254","±83","5.1%","±1.7","265","±145","5.6%","±3.1","839","±247","7.7%","±2.3","516","±212","11.5%","±5.0","487","±175","12.1%","±4.4","229","±118","5.6%","±2.9","1,494","±197","13.2%","±1.8","3,596","±358","34.6%","±3.4"
"        Median rooms","5.1","±0.2","(X)","(X)","5.4","±0.3","(X)","(X)","4.9","±0.3","(X)","(X)","5.7","±0.3","(X)","(X)","5.3","±0.2","(X)","(X)","4.9","±0.2","(X)","(X)","5.5","±0.2","(X)","(X)","5.1","±0.2","(X)","(X)","5.1","±0.3","(X)","(X)","4.6","±0.3","(X)","(X)","5.1","±0.3","(X)","(X)","5.2","±0.2","(X)","(X)","5.4","±0.3","(X)","(X)","5.4","±0.4","(X)","(X)","5.2","±0.2","(X)","(X)","5.3","±0.2","(X)","(X)","7.4","±0.4","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","11,273","±439","11,273","(X)","4,502","±190","4,502","(X)","4,452","±273","4,452","(X)","3,686","±397","3,686","(X)","9,386","±425","9,386","(X)","9,777","±446","9,777","(X)","9,472","±410","9,472","(X)","5,615","±303","5,615","(X)","4,561","±274","4,561","(X)","4,978","±252","4,978","(X)","4,737","±249","4,737","(X)","10,910","±457","10,910","(X)","4,500","±298","4,500","(X)","4,021","±314","4,021","(X)","4,061","±267","4,061","(X)","11,282","±405","11,282","(X)","10,392","±341","10,392","(X)"
"        No bedroom","592","±178","5.3%","±1.6","83","±60","1.8%","±1.3","39","±33","0.9%","±0.7","95","±147","2.6%","±3.9","477","±168","5.1%","±1.8","499","±163","5.1%","±1.6","459","±239","4.8%","±2.5","154","±68","2.7%","±1.2","155","±101","3.4%","±2.2","210","±84","4.2%","±1.6","208","±111","4.4%","±2.3","560","±195","5.1%","±1.8","0","±20","0.0%","±0.8","0","±20","0.0%","±0.9","74","±72","1.8%","±1.7","232","±131","2.1%","±1.2","47","±53","0.5%","±0.5"
